MAC_PREFIX,VENDOR_NAME
00:00:C3,HarrisCorporation
00:00:C4,WatersDivOfMillipore
00:00:C5,ARRISGroup
00:00:C6,HPIntelligentNetworksOperation(formerlyEonSystems)
00:00:C7,ArixCorporation
00:00:C8,AltosComputerSystems
00:00:C9,Emulex#TerminalServersPrintServers
00:00:CA,ARRISGroup
00:00:CB,Compu-ShackElectronicGmbh
00:00:CC,DensanCo
00:00:CD,AlliedTelesisLabs
00:00:CE,MegadataCorp
00:00:CF,HayesMicrocomputerProducts
00:00:D0,DevelconElectronics
00:00:D1,Adaptec#"Nodem"product
00:00:D2,Sbe
00:00:D3,WangLaboratories
00:00:D4,PureData
00:00:D5,MicrognosisInternational
00:00:D6,PunchLineHolding
00:00:D7,DartmouthCollege(NEDRouter)
00:00:D8,oldNovellNE1000's(beforeabout1987?)(also3Com)
00:00:D9,NipponTelegraph&Telephone
00:00:DB,BritishTelecommunicationsplc
00:00:DC,HayesMicrocomputerProducts
00:00:DD,Tclorporated
00:00:DF,Bell&HowellPubSysDiv
00:00:E0,QuadramCorp
00:00:E1,GridSystems
00:00:E2,AcerTechnologiesCorp
00:00:E3,IntegratedMicroProducts
00:00:E4,In2GroupeIntertechnique
00:00:E5,Sigmex
00:00:E6,AptorProduitsDeCommIndust
00:00:E7,StarGateTechnologies
00:00:E8,AcctonTechnologyCorp
00:00:E9,Isicad
00:00:EA,UpnodAb
00:00:EB,MatsushitaCommIndCo
00:00:EC,Microprocess
00:00:EE,NetworkDesignersLimited[alsoKNXaformerdivision]
00:00:F0,SamsungElectronicsCo
00:00:F1,MagnaComputerCorporation
00:00:F2,SpiderCommunications#(MontrealnotSpiderSystems)
00:00:F3,GandalfData-Canada
00:00:F4,AlliedTelesis
00:00:F5,DiamondSalesLimited
00:00:F6,AppliedMicrosystemsCorp
00:00:F7,YouthKeepEnterpriseCo
00:00:F8,DigitalEquipmentCorporation
00:00:F9,QuotronSystems
00:00:FA,MicrosageComputerSystems
00:00:FB,RechnerZurKommunikation
00:00:FD,HighLevelHardware(OrionUK)
00:00:FE,AnnapolisMicroSystems
00:00:FF,CamtecElectronics
00:01:00,Equip'Trans
00:01:04,DVICOCo
00:01:05,BeckhoffAutomationGmbH
00:01:06,TewsDatentechnikGmbH
00:01:07,LeiserGmbH
00:01:08,AVLABTechnology
00:01:09,NaganoJapanRadioCo
00:01:0A,CisTechnology
00:01:0B,SpaceCyberLink
00:01:0C,SystemTalks
00:01:0D,TeledyneDALSA
00:01:0E,Bri-LinkTechnologiesCo
00:01:0F,BrocadeCommunicationsSystemsLLC
00:01:10,GothamNetworks
00:01:11,iDigm
00:01:12,SharkMultimedia
00:01:13,OlympusCorporation
00:01:14,KandaTsushinKogyoCo
00:01:15,ExtratechCorporation
00:01:16,NetspectTechnologies
00:01:17,Canal+
00:01:18,EZDigitalCo
00:01:19,RTUnet(Australia)
00:01:1A,HoffmannundBurmeisterGbR
00:01:1B,UnizoneTechnologies
00:01:1C,UniversalTalkwareCorporation
00:01:1D,CentilliumCommunications
00:01:1E,PrecidiaTechnologies
00:01:1F,RCNetworks
00:01:20,OscilloquartzSA
00:01:21,WatchGuardTechnologies
00:01:22,TrendCommunications
00:01:23,SchneiderElectricJapanHoldings
00:01:24,Acerorporated
00:01:25,YaesuMusenCo
00:01:26,PACLabs
00:01:27,OPENNetworksPty
00:01:28,EnjoyWeb
00:01:29,DFI
00:01:2A,TelematicaSistemsInteligente
00:01:2B,TELENETCo
00:01:2C,AravoxTechnologies
00:01:2D,KomodoTechnology
00:01:2E,PCPartner
00:01:2F,TwinheadInternationalCorp
00:01:30,ExtremeNetworks
00:01:31,BoschSecuritySystems
00:01:32,Dranetz-BMI
00:01:33,KYOWAElectronicInstrumentsC
00:01:34,SelectronSystemsAG
00:01:35,KDCCorp
00:01:36,CyberTANTechnology
00:01:37,ITFarmCorporation
00:01:38,XAViTechnologiesCorp
00:01:39,PointMultimediaSystems
00:01:3A,ShelcadCommunications
00:01:3B,BnaSystems
00:01:3C,TiwSystems
00:01:3D,RiscStation
00:01:3E,AscomTatecoAB
00:01:3F,NeighborWorldCo
00:01:40,SendtekCorporation
00:01:41,CablePrint
00:01:42,CiscoSystems
00:01:43,IEEE802
00:01:44,DellEMC
00:01:45,Winsystems
00:01:46,TescoControls
00:01:47,ZhoneTechnologies
00:01:48,X-traWeb
00:01:49,TdtAg
00:01:4A,SonyCorporation
00:01:4B,EnnovateNetworks
00:01:4C,BerkeleyProcessControl
00:01:4D,ShinKinEnterprisesCo
00:01:4E,WINEnterprises
00:01:4F,Adtran
00:01:50,GilatCommunications
00:01:51,EnsembleCommunications
00:01:52,Chromatek
00:01:53,ArchtekTelecomCorporation
00:01:54,G3MCorporation
00:01:55,PromiseTechnology
00:01:56,FirewiredirectCom
00:01:57,SyswaveCo
00:01:58,ElectroIndustries/GaugeTech
00:01:59,S1Corporation
00:01:5A,DigitalVideoBroadcasting
00:01:5B,ITALTELSpA/RF-UP-I
00:01:5C,Cadant
00:01:5D,OracleCorporation
00:01:5E,BestTechnologyCo
00:01:5F,DIGITALDESIGNGmbH
00:01:60,ELMEXCoLTD
00:01:61,MetaMachineTechnology
00:01:62,CygnetTechnologies
00:01:63,NDC(NationalDatacommCorporation)
00:01:64,CiscoSystems
00:01:65,AirSwitchCorporation
00:01:66,TcGroupA/S
00:01:67,HiokiEECorporation
00:01:68,VitanaCorporation
00:01:69,CelestixNetworksPte
00:01:6B,LightChip
00:01:6D,CarrierComm
00:01:6E,ConklinCorporation
00:01:6F,InkelCorp
00:01:70,ESEEmbeddedSystemEngineer'g
00:01:71,AlliedDataTechnologies
00:01:72,TechnoLandCoLTD
00:01:74,CyberOpticsCorporation
00:01:75,RadiantCommunicationsCorp
00:01:76,OrientSilverEnterprises
00:01:78,MARGISystems
00:01:79,WirelessTechnology
00:01:7A,ChengduMaipuElectricIndustrialCo
00:01:7B,HeidelbergerDruckmaschinenAG
00:01:7C,AG-EGmbH
00:01:7D,ThermoQuest
00:01:7E,ADTEKSystemScienceCo
00:01:7F,ExperienceMusicProject
00:01:80,AOpen
00:01:81,NortelNetworks
00:01:82,DicaTechnologiesAg
00:01:83,AniteTelecoms
00:01:84,Sieb&MeyerAg
00:01:85,HitachiAlokaMedical
00:01:86,UweDisch
00:01:87,I2SEGmbH
00:01:88,LXCOTechnologiesag
00:01:89,RefractionTechnology
00:01:8A,RoiComputerAg
00:01:8B,NetLinksCo
00:01:8C,MegaVision
00:01:8D,AudeSiTechnologies
00:01:8E,LogitecCorporation
00:01:8F,Kenetec
00:01:91,SYREDDataSystems
00:01:92,TexasDigitalSystems
00:01:93,HanbyulTelecomCo
00:01:94,CapitalEquipmentCorporation
00:01:95,SenaTechnologies
00:01:96,CiscoSystems
00:01:97,CiscoSystems
00:01:98,DarimVision
00:01:99,HeiSeiElectronics
00:01:9A,LEUNIGGmbH
00:01:9B,KyotoMicrocomputerCo
00:01:9C,JDSUniphase
00:01:9D,E-ControlSystems
00:01:9E,ESSTechnology
00:01:A0,InfinilinkCorporation
00:01:A1,Mag-Tek
00:01:A2,LogicalCo
00:01:A3,GenesysLogic
00:01:A4,MicrolinkCorporation
00:01:A5,Nextcomm
00:01:A6,Scientific-AtlantaArcodanA/S
00:01:A7,UnexTechnologyCorporation
00:01:A8,WelltechComputerCo
00:01:A9,BmwAg
00:01:AA,AirspanCommunications
00:01:AB,MainStreetNetworks
00:01:AC,SitaraNetworks
00:01:AD,CoachMasterInternationaldbaCMIWorldwide
00:01:AE,TrexEnterprises
00:01:AF,ArtesynEmbeddedTechnologies
00:01:B0,FulltekTechnologyCo
00:01:B1,GeneralBandwidth
00:01:B2,DigitalProcessingSystems
00:01:B3,PrecisionElectronicManufacturing
00:01:B4,Wayport
00:01:B5,TurinNetworks
00:01:B6,SAEJINT&MCo
00:01:B7,Centos
00:01:B8,Netsensity
00:01:B9,SKF(UK)Limited
00:01:BA,IC-Net
00:01:BB,Frequentis
00:01:BC,BrainsCorporation
00:01:BD,PetersonElectro-MusicalProducts
00:01:BE,GigalinkCo
00:01:BF,TeleforceCo
00:01:C0,CompuLab
00:01:C1,VitesseSemiconductorCorporation
00:01:C2,ARKResearchCorp
00:01:C3,Acromag
00:01:C4,NeoWave
00:01:C5,SimplerNetworks
00:01:C6,QuarryTechnologies
00:01:C7,CiscoSystems
00:01:C8,ThomasConradCorp
00:01:C9,CiscoSystems
00:01:CA,GeocastNetworkSystems
00:01:CC,JapanTotalDesignCommunicationCo
00:01:CE,CustomMicroProducts
00:01:CF,AlphaDataParallelSystems
00:01:D0,VitalPoint
00:01:D1,CoNetCommunications
00:01:D2,inXtron
00:01:D3,PAXCOMM
00:01:D4,LeisureTime
00:01:D5,HaedongInfo&CommCo
00:01:D6,manrolandAG
00:01:D7,F5Networks
00:01:D8,Teltronics
00:01:D9,Sigma
00:01:DA,WINCOMMCorporation
00:01:DB,FreecomTechnologiesGmbH
00:01:DC,Activetelco
00:01:DD,AvailNetworks
00:01:DE,TrangoSystems
00:01:DF,ISDNCommunications
00:01:E0,FastSystems
00:01:E1,KinpoElectronics
00:01:E2,AndoElectricCorporation
00:01:E3,SiemensAG
00:01:E4,Sitera
00:01:E5,Supernet
00:01:E6,HewlettPackard
00:01:E7,HewlettPackard
00:01:E8,Force10Networks
00:01:E9,LittonMarineSystemsBV
00:01:EA,CiriliumCorp
00:01:EB,C-COMCorporation
00:01:EC,EricssonGroup
00:01:ED,SETACorp
00:01:EE,ComtrolEurope
00:01:EF,CamtelTechnologyCorp
00:01:F0,Tridium
00:01:F1,InnovativeConcepts
00:01:F2,MarkoftheUnicorn
00:01:F3,QPS
00:01:F4,Enterasys
00:01:F5,ErimSA
00:01:F6,AssociationofMusicalElectronicsIndustry
00:01:F7,ImageDisplaySystems
00:01:F8,TexioTechnologyCorporation
00:01:F9,TeraGlobalCommunicationsCorp
00:01:FB,DoTopTechnology
00:01:FC,KeyenceCorporation
00:01:FD,DigitalVoiceSystems
00:01:FE,DigitalEquipmentCorporation
00:01:FF,DataDirectNetworks
00:02:00,Net&SysCo
00:02:01,IFMElectronicgmbh
00:02:02,AminoCommunications
00:02:03,WoonsangTelecom
00:02:04,BodmannIndustriesElektronikGmbH
00:02:05,HitachiDenshi
00:02:06,TelitalR&DDenmarkA/S
00:02:07,VisionGlobalNetworkCorp
00:02:08,UnifyNetworks
00:02:09,ShenzhenSEDInformationTechnologyCo
00:02:0A,GefranSpa
00:02:0B,NativeNetworks
00:02:0C,Metro-Optix
00:02:0D,Micronpccom
00:02:0E,ECITelecom
00:02:11,NatureWorldwideTechnologyCorp
00:02:12,SierraCom
00:02:13,SDEL
00:02:15,CotasComputerTechnologyA/B
00:02:16,ESI(ExtendedSystems)#printservers
00:02:17,CiscoSystems
00:02:18,AdvancedScientificCorp
00:02:19,ParalonTechnologies
00:02:1A,ZumaNetworks
00:02:1B,Kollmorgen-Servotronix
00:02:1C,NetworkElements
00:02:1D,DataGeneralCommunication
00:02:1E,SimtelSRL
00:02:1F,AculabPLC
00:02:20,CanonFinetech
00:02:21,DSPApplication
00:02:22,Chromisys
00:02:25,OneStopSystems
00:02:26,XESystems
00:02:27,ESDElectronicSystemDesignGmbH
00:02:28,Necsom
00:02:29,AdtecCorporation
00:02:2A,AsoundElectronic
00:02:2B,SAXA
00:02:2C,ABBBomem
00:02:2D,AgereSystems
00:02:2E,TEACCorpR&D
00:02:2F,P-Cube
00:02:30,IntersoftElectronics
00:02:31,Ingersoll-Rand
00:02:32,Avision
00:02:33,MantraCommunications
00:02:34,ImperialTechnology
00:02:35,ParagonNetworksInternational
00:02:36,INITGmbH
00:02:37,CosmoResearchCorp
00:02:38,SeromeTechnology
00:02:3A,ZSKStickmaschinenGmbH
00:02:3C,CreativeTechnology
00:02:3D,CiscoSystems
00:02:3E,SeltaTelematicaSpa
00:02:3F,CompalElectronicsINC
00:02:40,SeedekCo
00:02:41,Amercom
00:02:42,VideoframeSystems
00:02:43,RaysisCo
00:02:44,SURECOMTechnologyCo
00:02:45,LampusCo
00:02:46,All-WinTechCo
00:02:47,GreatDragonInformationTechnology(Group)Co
00:02:48,PilzGmbH&Co
00:02:49,AvivInfocomCo
00:02:4A,CiscoSystems
00:02:4B,CiscoSystems
00:02:4C,SiByte
00:02:4D,MannesmanDematicColbyPty
00:02:4E,DatacardGroup
00:02:4F,IPMDatacomSRL
00:02:50,GeyserNetworks
00:02:51,SomaNetworks
00:02:52,CarrierCorporation
00:02:53,Televideo
00:02:54,WorldGate
00:02:55,IBMCorp
00:02:56,AlphaProcessor
00:02:57,MicrocomCorp
00:02:58,FlyingPacketsCommunications
00:02:59,TsannKuenChina(Shanghai)EnterpriseCoITGroup
00:02:5A,CatenaNetworks
00:02:5B,CambridgeSiliconRadio
00:02:5C,SCISystems(Kunshan)Co
00:02:5D,CalixNetworks
00:02:5E,HighTechnology
00:02:5F,NortelNetworks
00:02:60,AccordionNetworks
00:02:61,TilginAB
00:02:62,SoyoGroupSoyoComTechCo
00:02:63,UPSManufacturingSRL
00:02:64,AudioRampcom
00:02:65,VirditechCo
00:02:66,ThermalogicCorporation
00:02:67,NodeRunner
00:02:68,HarrisGovernmentCommunications
00:02:69,NadatelCo
00:02:6A,CocessTelecomCo
00:02:6B,BCMComputersCo
00:02:6C,PhilipsCFT
00:02:6D,AdeptTelecom
00:02:6E,NeGeNAccess
00:02:6F,SenaoInternationalCo
00:02:70,CrewaveCo
00:02:71,ZhoneTechnologies
00:02:72,CC&CTechnologies
00:02:73,CoriolisNetworks
00:02:74,TommyTechnologiesCorp
00:02:75,SMARTTechnologies
00:02:76,PrimaxElectronics
00:02:77,CashSystemesIndustrie
00:02:78,SamsungElectroMechanicsCo
00:02:79,ControlApplications
00:02:7A,IOITechnologyCorporation
00:02:7B,AmplifyNet
00:02:7C,Trilithic
00:02:7D,CiscoSystems
00:02:7E,CiscoSystems
00:02:7F,ask-technologiescom
00:02:80,MuNet
00:02:81,Madge
00:02:82,ViaClix
00:02:83,SpectrumControls
00:02:84,UKGridSolutionsLimited
00:02:85,RiverstoneNetworks
00:02:86,OccamNetworks
00:02:88,GlobalVillage(PCcardinMacportable)
00:02:89,DNETechnologies
00:02:8A,AmbitMicrosystemsCorporation
00:02:8B,VDSLSystemsOY
00:02:8C,Micrel-SynergySemiconductor
00:02:8D,MovitaTechnologies
00:02:8E,Rapid5Networks
00:02:8F,Globetek
00:02:90,Woorigisool
00:02:91,OpenNetworkCo
00:02:92,LogicInnovations
00:02:93,SolidDataSystems
00:02:94,TokyoSokushinCo
00:02:95,IPAccessLimited
00:02:96,LectronCo
00:02:97,C-CORnet
00:02:98,BroadframeCorporation
00:02:99,Apex
00:02:9A,StorageApps
00:02:9B,KreatelCommunicationsAB
00:02:9D,MerixCorp
00:02:9E,InformationEquipmentCo
00:02:9F,L-3CommunicationAviationRecorders
00:02:A0,Flatstack
00:02:A1,WorldWidePackets
00:02:A2,HilscherGmbH
00:02:A3,ABBSwitzerlandPowerSystems
00:02:A4,AddPacTechnologyCo
00:02:A5,HewlettPackard
00:02:A6,EffinetSystemsCo
00:02:A7,VivaceNetworks
00:02:A8,AirLinkTechnology
00:02:A9,RACOMsro
00:02:AA,PLcomCo
00:02:AB,CTCUnionTechnologiesCo
00:02:AC,3PARdata
00:02:AD,HOYACorporation
00:02:AE,ScannexElectronics
00:02:AF,TeleCruzTechnology
00:02:B0,HokubuCommunication&IndustrialCo
00:02:B1,Anritsu
00:02:B2,Cablevision
00:02:B3,IntelCorporation
00:02:B5,Avnet
00:02:B6,AcrosserTechnologyCo
00:02:B7,WatanabeElectricIndustryCo
00:02:B8,WhiKonsultAb
00:02:B9,CiscoSystems
00:02:BA,CiscoSystems
00:02:BB,ContinuousComputingCorp
00:02:BC,LVL7Systems
00:02:BD,BionetCo
00:02:BE,TotsuEngineering
00:02:BF,dotRocket
00:02:C0,BencentTzengIndustryCo
00:02:C1,InnovativeElectronicDesigns
00:02:C2,NetVisionTelecom
00:02:C3,Arelnet
00:02:C4,OPTMachineVisionTechCo
00:02:C5,EvertzMicrosystems
00:02:C6,DataTrackTechnologyPLC
00:02:C7,AlpsalpineCo
00:02:C8,TechnocomCommunicationsTechnology(pte)
00:02:C9,MellanoxTechnologies
00:02:CA,EndPoints
00:02:CB,TriState
00:02:CC,MCCI
00:02:CD,TeleDream
00:02:CE,FoxJet
00:02:CF,ZyGateCommunications
00:02:D0,ComdialCorporation
00:02:D1,Vivotek
00:02:D2,WorkstationAG
00:02:D3,NetBotz
00:02:D4,PDAPeripherals
00:02:D6,NICESystems
00:02:D7,EMPEG
00:02:D8,BRECISCommunicationsCorporation
00:02:D9,ReliableControls
00:02:DA,ExiOCommunications
00:02:DC,FujitsuGeneralLimited
00:02:DD,BromaxCommunications
00:02:DE,Astrodesign
00:02:DF,NetComSystems
00:02:E0,ETASGmbH
00:02:E1,IntegratedNetworkCorporation
00:02:E2,NDCInfaredEngineering
00:02:E3,LITE-ONCommunications
00:02:E4,JCHYUNSystems
00:02:E5,Timeware
00:02:E6,GouldInstrumentSystems
00:02:E7,CABGmbH&CoKG
00:02:E8,ED&A
00:02:E9,CSSystemesDeSecurite-C3S
00:02:EA,FocusEnhancements
00:02:EB,PicoCommunications
00:02:EC,MaschoffDesignEngineering
00:02:ED,DXOTelecomCo
00:02:EE,NokiaDanmarkA/S
00:02:EF,CCCNetworkSystemsGroup
00:02:F0,AMEOptimediaTechnologyCo
00:02:F1,PinetronCo
00:02:F2,eDevice
00:02:F3,MediaServeCo
00:02:F4,PCTEL
00:02:F5,VIVESynergies
00:02:F6,EquipeCommunications
00:02:F8,SEAKREngineering
00:02:F9,MIMOSBerhad
00:02:FA,DXAntennaCo
00:02:FB,BaumullerAulugen-SystemtechnikGmbH
00:02:FC,CiscoSystems
00:02:FD,CiscoSystems
00:02:FE,Viditec
00:02:FF,HandanBroadInfoCom
00:03:00,BarracudaNetworks
00:03:02,CharlesIndustries
00:03:03,JAMAElectronicsCo
00:03:04,PacificBroadbandCommunications
00:03:05,MSCVertriebsGmbH
00:03:06,FusionInTechCo
00:03:07,SecureWorks
00:03:08,AMCommunications
00:03:09,TexcelTechnologyPLC
00:03:0A,ArgusTechnologies
00:03:0B,HunterTechnology
00:03:0C,TelesoftTechnologies
00:03:0D,UniwillComputerCorp
00:03:0E,CoreCommunicationsCo
00:03:0F,DigitalChina(Shanghai)Networks
00:03:10,E-GlobaledgeCorporation
00:03:11,MicroTechnologyCo
00:03:12,TRsystemsGmbH
00:03:13,AccessMediaSPA
00:03:14,TelewareNetworkSystems
00:03:15,Cidcoorporated
00:03:16,NobellCommunications
00:03:17,MerlinSystems
00:03:18,CyrasSystems
00:03:19,InfineonAG
00:03:1A,BeijingBroadTelecomChina
00:03:1B,CellvisionSystems
00:03:1C,SvenskaHardvarufabrikenAB
00:03:1D,TaiwanCommateComputer
00:03:1E,Optranet
00:03:1F,Condev
00:03:20,Xpeed
00:03:21,RecoResearchCo
00:03:22,IDISCo
00:03:23,CornetTechnology
00:03:24,SANYOTechnoSolutionsTottoriCo
00:03:25,ArimaComputerCorp
00:03:26,IwasakiInformationSystemsCo
00:03:27,Act'L
00:03:28,MaceGroup
00:03:29,F3
00:03:2A,UniDataCommunicationSystems
00:03:2B,GAIDatenfunksystemeGmbH
00:03:2C,ABBSwitzerland
00:03:2D,IBASETechnology
00:03:2E,ScopeInformationManagement
00:03:2F,GlobalSunTechnology
00:03:30,ImagenicsCo
00:03:31,CiscoSystems
00:03:32,CiscoSystems
00:03:33,DigitelCo
00:03:34,OmegaEngineering
00:03:35,MiraeTechnology
00:03:36,ZetesTechnologies
00:03:37,Vaone
00:03:38,OakTechnology
00:03:39,EurologicSystems
00:03:3A,SiliconWave
00:03:3B,TAMITechCo
00:03:3C,DaidenCo
00:03:3D,ILSHinLab
00:03:3E,TateyamaSystemLaboratoryCo
00:03:3F,BigBandNetworks
00:03:40,FlowareWirelessSystems
00:03:41,AxonDigitalDesign
00:03:42,NortelNetworks
00:03:43,MartinProfessionalA/S
00:03:44,TietechCo
00:03:45,RoutrekNetworksCorporation
00:03:46,HitachiKokusaiElectric
00:03:47,IntelCorporation
00:03:48,NorscanInstruments
00:03:49,VidicodeDatacommunicatieBV
00:03:4A,RIASCorporation
00:03:4B,NortelNetworks
00:03:4C,ShanghaiDigiVisionTechnologyCo
00:03:4D,ChiaroNetworks
00:03:4E,PosDataCompany
00:03:4F,Sur-GardSecurity
00:03:50,BticinoSpa
00:03:51,Diebold
00:03:52,ColubrisNetworks
00:03:53,Mitac
00:03:54,FiberLogicCommunications
00:03:55,TeraBeamInternetSystems
00:03:56,WincorNixdorfInternationalGmbH
00:03:57,Intervoice-Brite
00:03:58,HanyangDigitechCo
00:03:59,DigitalSis
00:03:5A,PhotronLimited
00:03:5B,BridgeWaveCommunications
00:03:5C,SaintSongCorp
00:03:5D,BosungHi-NetCo
00:03:5E,MetropolitanAreaNetworks
00:03:5F,PrüftechnikConditionMonitoringGmbH&CoKG
00:03:60,PACInteractiveTechnology
00:03:61,Widcomm
00:03:62,VodtelCommunications
00:03:63,MiraesysCo
00:03:64,ScenixSemiconductor
00:03:65,KiraInformation&Communications
00:03:66,ASMPacificTechnology
00:03:67,JasmineNetworks
00:03:68,EmbedoneCo
00:03:69,NipponAntennaCo
00:03:6A,Mainnet
00:03:6B,CiscoSystems
